2024-04-10 15:40:09,START,Application has been started working
2024-04-10 15:40:21,START,Application has been started working
2024-04-10 16:02:49,START,Application has been started working
2024-04-10 16:08:35,START,Application has been started working
2024-04-10 16:18:05,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:35:56,START,Application has been started working
2024-04-10 16:36:11,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:39:12,START,Application has been started working
2024-04-10 16:39:15,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:40:05,START,Application has been started working
2024-04-10 16:40:08,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:40:09,ERROR,Translation. Can't translate the message from user 489973537 (Inyushkin). Message: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:40:11,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:40:12,ERROR,Translation. Can't translate the message from user 489973537 (Inyushkin). Message: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:42:17,START,Application has been started working
2024-04-10 16:42:43,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:42:57,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:43:28,START,Application has been started working
2024-04-10 16:43:33,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:44:41,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy? ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:45:01,START,Application has been started working
2024-04-10 16:45:13,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy? ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:47:10,START,Application has been started working
2024-04-10 16:47:23,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy? ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:52:06,START,Application has been started working
2024-04-10 16:52:18,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy? ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:55:33,INFO,Translation. Message to translate: ЎHola a todos! їQuй hay de nuevo hoy?
2024-04-10 16:58:20,INFO,Translation. Message to translate: \x1b
2024-04-10 16:58:33,INFO,Translation. Message to translate: \x1b
